Title,Artist,Plays,Album,Duration
Not Like Us,Kendrick Lamar,4.90E+07,Not Like Us,4:35
meet the grahams,Kendrick Lamar,3.60E+07,meet the grahams,6:33
HUMBLE.,Kendrick Lamar,1.20E+09,DAMN. COLLECTORS EDITION.,2:57
Money Trees (feat. Jay Rock),Kendrick Lamar,8.02E+08,"good kid, m.A.A.d. city (Deluxe)",6:27
Swimming Pools (Drank),Kendrick Lamar,5.54E+08,Swimming Pools (Drank),4:08
All The Stars,Kendrick Lamar & SZA,6.76E+08,Black Panther The Album Music From And Inspired By,3:53
LOVE. (feat. Zacari),Kendrick Lamar,3.03E+08,DAMN. COLLECTORS EDITION.,3:34
PRIDE.,Kendrick Lamar,1.02E+08,DAMN. COLLECTORS EDITION.,4:36
Alright,Kendrick Lamar,2.68E+08,To Pimp A Butterfly,3:40
DNA.,Kendrick Lamar,3.81E+08,DAMN. COLLECTORS EDITION.,3:06
"B*tch, Don’t Kill My Vibe ",Kendrick Lamar,4.68E+08,"good kid, m.A.A.d. city (Deluxe)",5:11
N95,Kendrick Lamar,1.24E+08,Mr. Morale & The Big Steppers,3:16
family ties,Baby Keem & Kendrick Lamar,1.86E+08,The Melodic Blue,4:13
Poetic Justice (feat. Drake),Kendrick Lamar,2.22E+08,"good kid, m.A.A.d. city (Deluxe)",5:01
Rich Spirit,Kendrick Lamar,6.30E+07,Mr. Morale & The Big Steppers,3:23
Count Me Out,Kendrick Lamar,6.20E+07,Mr. Morale & The Big Steppers,4:44
m.A.A.d city (feat. MC Eiht),Kendrick Lamar,2.56E+08,"good kid, m.A.A.d. city (Deluxe)",5:51
Pray For Me,The Weeknd & Kendrick Lamar,4.50E+08,Pray For Me,3:32
LOYALTY. (feat. Rihanna),Kendrick Lamar,2.88E+08,DAMN. COLLECTORS EDITION.,3:48
United In Grief,Kendrick Lamar,3.80E+07,Mr. Morale & The Big Steppers,4:16
ELEMENT.,Kendrick Lamar,1.48E+08,DAMN. COLLECTORS EDITION.,3:29
A.D.H.D,Kendrick Lamar,1.54E+08,Section.80,3:36
King Kunta,Kendrick Lamar,2.04E+08,To Pimp A Butterfly,3:36
Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer",4.40E+07,Mr. Morale & The Big Steppers,4:00
The Recipe (Bonus Track) (feat. Dr. Dre),Kendrick Lamar,1.49E+08,"good kid, m.A.A.d. city (Deluxe)",5:53
The Hillbillies,Baby Keem & Kendrick Lamar,2.10E+07,The Hillbillies,3:25
The Heart Part 5,Kendrick Lamar,5.60E+07,Mr. Morale & The Big Steppers,5:33
DUCKWORTH.,Kendrick Lamar,2.30E+07,DAMN. COLLECTORS EDITION.,4:09
Backseat Freestyle,Kendrick Lamar,9.20E+07,"good kid, m.A.A.d. city (Deluxe)",3:33
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",2.19E+08,King's Dead,3:50
Silent Hill,Kendrick Lamar & Kodak Black,4.70E+07,Mr. Morale & The Big Steppers,3:41
"Sing About Me, I'm Dying Of Thirst",Kendrick Lamar,8.50E+07,"good kid, m.A.A.d. city (Deluxe)",12:04
FEAR.,Kendrick Lamar,5.60E+07,DAMN. COLLECTORS EDITION.,7:41
Wesley's Theory (feat. George Clinton & Thundercat),Kendrick Lamar,1.90E+07,To Pimp A Butterfly,4:48
i,Kendrick Lamar,1.13E+08,i,3:52
Father Time (feat. Sampha),Kendrick Lamar,2.10E+07,Mr. Morale & The Big Steppers,3:43
FEEL.,Kendrick Lamar,1.80E+07,DAMN. COLLECTORS EDITION.,3:43
XXX. (feat. U2),Kendrick Lamar,1.60E+07,DAMN. COLLECTORS EDITION.,4:15
The Heart Part 4,Kendrick Lamar,3.80E+07,The Heart Part 4,4:49
Mother I Sober (feat. Beth Gibbons),Kendrick Lamar,8.10E+06,Mr. Morale & The Big Steppers,6:47
u,Kendrick Lamar,3.30E+07,To Pimp A Butterfly,4:29
Savior,"Kendrick Lamar,  Baby Keem & Sam Dew",1.60E+07,Mr. Morale & The Big Steppers,3:45
Rigamortus,Kendrick Lamar,4.40E+07,Section.80,2:49
LUST.,Kendrick Lamar,1.70E+07,DAMN. COLLECTORS EDITION.,5:08
We Cry Together,Kendrick Lamar & Taylour Paige,1.60E+07,Mr. Morale & The Big Steppers,5:25
Mr. Morale,Kendrick Lamar & Tanna Leone,1.20E+07,Mr. Morale & The Big Steppers,3:31
For Free? (Interlude),Kendrick Lamar,1.90E+07,To Pimp A Butterfly,2:11
"B*tch, Don’t Kill My Vibe (Remix) (feat. JAY Z)",Kendrick Lamar,2.90E+07,"good kid, m.A.A.d. city (Deluxe)",4:39
These Walls (feat. Bilal Anna Wise & Thundercat),Kendrick Lamar,3.50E+07,To Pimp A Butterfly,5:01
YAH.,Kendrick Lamar,9.80E+06,DAMN. COLLECTORS EDITION.,2:41
Worldwide Steppers,Kendrick Lamar,1.10E+07,Mr. Morale & The Big Steppers,3:24
HiiiPoWeR,Kendrick Lamar,2.60E+07,HiiiPoWeR,4:42
Blow My High (Members Only),Kendrick Lamar,3.80E+07,Section.80,3:36
Mirror,Kendrick Lamar,9.10E+06,Mr. Morale & The Big Steppers,4:17
The Blacker The Berry,Kendrick Lamar,1.10E+07,To Pimp A Butterfly,5:29
How Much A Dollar Cost (feat. James Fauntleroy & Ronald Isley),Kendrick Lamar,8.90E+06,To Pimp A Butterfly,4:22
GOD.,Kendrick Lamar,1.00E+07,DAMN. COLLECTORS EDITION.,4:09
The Art of Peer Pressure,Kendrick Lamar,1.50E+07,"good kid, m.A.A.d. city (Deluxe)",5:25
BLOOD.,Kendrick Lamar,6.60E+06,DAMN. COLLECTORS EDITION.,4:09
Sherane a.k.a Master Splinter’s Daughter,Kendrick Lamar,1.00E+07,"good kid, m.A.A.d. city (Deluxe)",4:34
untitled 02 | 06.23.2014.,Kendrick Lamar,1.00E+07,untitled unmastered.,4:19
Purple Hearts,"Kendrick Lamar, Summer Walker & Ghostface Killah",1.30E+07,Mr. Morale & The Big Steppers,5:30
good kid,Kendrick Lamar,8.20E+06,"good kid, m.A.A.d. city (Deluxe)",3:35
Real (feat. Anna Wise),Kendrick Lamar,1.10E+07,"good kid, m.A.A.d. city (Deluxe)",7:24
Rich (Interlude),Kendrick Lamar,7.30E+06,Mr. Morale & The Big Steppers,1:44
range brothers,Baby Keem & Kendrick Lamar,1.90E+07,The Melodic Blue,5:17
"Institutionalized (feat. Bilal, Anna Wise & Snoop Dogg)",Kendrick Lamar,7.40E+06,To Pimp A Butterfly,4:32
Crown,Kendrick Lamar,8.40E+06,Mr. Morale & The Big Steppers,4:25
Hood Politics,Kendrick Lamar,8.00E+06,To Pimp A Butterfly,4:53
Auntie Diaries,Kendrick Lamar,5.20E+06,Mr. Morale & The Big Steppers,4:42
Hol' Up,Kendrick Lamar,1.00E+07,Section.80,2:54
Poe Mans Dreams (His Vice),Kendrick Lamar,1.20E+07,Section.80,4:22
You Ain't Gotta Lie (Momma Said),Kendrick Lamar,6.60E+06,To Pimp A Butterfly,4:02
Savior (Interlude),Kendrick Lamar,5.90E+06,Mr. Morale & The Big Steppers,4:09
Mortal Man,Kendrick Lamar,4.70E+06,To Pimp A Butterfly,2:33
Momma,Kendrick Lamar,5.60E+06,To Pimp A Butterfly,12:08
Cut You Off (To Grow Closer),Kendrick Lamar,1.90E+07,Overly Dedicated,4:44
Ignorance Is Bliss,Kendrick Lamar,1.10E+07,Overly Dedicated,6:05
i,Kendrick Lamar,8.80E+07,To Pimp A Butterfly,3:31
Compton (feat. Dr. Dre),Kendrick Lamar,5.20E+06,"good kid, m.A.A.d. city (Deluxe)",5:37
Chapter Six,Kendrick Lamar,3.40E+06,Section.80,4:09
The Spiteful Chant,Kendrick Lamar,1.40E+07,Section.80,2:42
Complexion (A Zulu Love) (feat. Rapsody),Kendrick Lamar,4.40E+06,To Pimp A Butterfly,5:21
HUMBLE. (SKRILLEX REMIX),Skrillex & Kendrick Lamar,1.30E+07,HUMBLE. (SKRILLEX REMIX),4:24
F*ck Your Ethnicity,Kendrick Lamar,7.40E+06,Section.80,2:37
Big Shot,Kendrick Lamar & Travis Scott,1.50E+07,Black Panther The Album Music From And Inspired By,3:45
Ronald Reagan Era,Kendrick Lamar,6.30E+06,Section.80,3:42
untitled 08 | 09.06.2014.,Kendrick Lamar,2.80E+06,untitled unmastered.,3:37
untitled 05 | 09.21.2014.,Kendrick Lamar,2.60E+06,untitled unmastered.,3:56
Now Or Never (Bonus Track) (feat. Mary J. Blige),Kendrick Lamar,5.30E+06,"good kid, m.A.A.d. city (Deluxe)",5:39
untitled 03 | 05.28.2013.,Kendrick Lamar,1.70E+06,untitled unmastered.,4:17
Black Panther,Kendrick Lamar,5.10E+06,Black Panther The Album Music From And Inspired By,2:35
Michael Jordan (feat. Schoolboy Q),Kendrick Lamar,1.00E+07,Overly Dedicated,5:51
Keisha's Song (Her Pain),Kendrick Lamar,8.20E+06,Section.80,3:48
untitled 01 | 08.19.2014.,Kendrick Lamar,1.60E+06,untitled unmastered.,4:08
untitled 06 | 06.30.2014.,Kendrick Lamar,1.90E+06,untitled unmastered.,3:29
No Make-Up (Her Vice),Kendrick Lamar,4.80E+06,Section.80,3:29
untitled 07 | 2014 - 2016,Kendrick Lamar,2.50E+06,untitled unmastered.,3:56
Kush & Corinthians,Kendrick Lamar,5.90E+06,Section.80,8:17
Tammy's Song (Her Evils),Kendrick Lamar,4.30E+06,Section.80,5:05
Black Boy Fly (Bonus Track),Kendrick Lamar,2.00E+06,"good kid, m.A.A.d. city (Deluxe)",2:42
Growing Apart (To Get Closer) (feat. Jhené Aiko),Kendrick Lamar,3.20E+06,Overly Dedicated,4:40
Average Joe,Kendrick Lamar,2.90E+06,Overly Dedicated,3:41
Opposites Attract (Tomorrow W/O Her) (feat. Javonte),Kendrick Lamar,1.00E+07,Overly Dedicated,4:17
untitled 04 | 08.14.2014.,Kendrick Lamar,1.20E+06,untitled unmastered.,4:32
untitled 07 | levitate,Kendrick Lamar,3.00E+06,untitled 07 | levitate,1:51
Ab-Souls Outro (feat. Ab-Soul),Kendrick Lamar,1.00E+06,Section.80,2:27
Chapter Ten,Kendrick Lamar,1.00E+06,Section.80,5:51
P&P 1.5 (feat. Ab-Soul),Kendrick Lamar,2.30E+06,Overly Dedicated,1:16
Don't Don't Do It!,N.E.R.D & Kendrick Lamar,1.70E+06,NO ONE EVER REALLY DIES,6:02
She Needs Me (Remix) (feat. Dom Kennedy & Murs),Kendrick Lamar,2.30E+06,Overly Dedicated,4:18
Alien Girl (Today W/ Her),Kendrick Lamar,3.00E+06,Overly Dedicated,3:16
Swimming Pools (Drank) (Black Hippy Remix),Kendrick Lamar,1.40E+06,Swimming Pools (Drank) (Black Hippy Remix),4:00
R.O.T.C (Interlude) (feat. Bj The Chicago Kid),Kendrick Lamar,9.62E+05,Overly Dedicated,5:15
H.O.C,Kendrick Lamar,3.30E+06,Overly Dedicated,2:44
"B*tch, Don’t Kill My Vibe (Remix) (feat. Emeli Sandé),",Kendrick Lamar,1.40E+06,"B*tch, Don't Kill My Vibe (Remix)",5:07
Barbed Wire (feat. Ash Riser),Kendrick Lamar,1.00E+06,Overly Dedicated,4:17
NILE,Beyoncé & Kendrick Lamar,3.60E+06,The Lion King: The Gift,4:26
County Building Blues,Kendrick Lamar,1.30E+06,County Building Blues,1:48
